"keyword","appearance_count","average_impact","total_impact"
"buffer","1","0.04429288976825774","0.04429288976825774"
"recovery","1","0.04427064396440983","0.04427064396440983"
"mum","1","0.04414800934803983","0.04414800934803983"
"facility","1","0.044066958012990654","0.044066958012990654"
"rling","1","0.04391642357222736","0.04391642357222736"
"civil","1","0.04379763698671013","0.04379763698671013"
"black","2","0.02186949197979023","0.04373898395958046"
"sc","1","0.0436544690746814","0.0436544690746814"
"dust","2","0.021788293379358947","0.043576586758717895"
"work","1","0.04351669363677502","0.04351669363677502"
"earth","2","0.021559843909926713","0.043119687819853425"
"ed","2","0.021488499080684655","0.04297699816136931"
"pan","2","0.02142448624363169","0.04284897248726338"
"maryland","1","0.042551277205348015","0.042551277205348015"
"feast","1","0.04246551578398794","0.04246551578398794"
"ill","1","0.04237008546867097","0.04237008546867097"
"sen","1","0.04233685287181288","0.04233685287181288"
"downing","1","0.042309531185310334","0.042309531185310334"
